1880	-0.43
1881	-0.42
1882	-0.39
1883	-0.58
1884	-0.60
1885	-0.52
1886	-0.49
1887	-0.46
1888	-0.47
1889	-0.32
1890	-0.51
1891	-0.55
1892	-0.51
1893	-0.56
1894	-0.35
1895	-0.42
1896	-0.27
1897	-0.32
1898	-0.40
1899	-0.20
1900	-0.14
1901	-0.09
1902	-0.35
1903	-0.41
1904	-0.48
1905	-0.44
1906	-0.21
1907	-0.61
1908	-0.49
1909	-0.39
1910	-0.34
1911	-0.45
1912	-0.52
1913	-0.34
1914	-0.07
1915	-0.06
1916	-0.36
1917	-0.50
1918	-0.34
1919	-0.30
1920	-0.27
1921	-0.04
1922	-0.21
1923	-0.18
1924	-0.22
1925	-0.07
1926	0.03
1927	-0.14
1928	-0.08
1929	-0.40
1930	-0.07
1931	-0.02
1932	0.01
1933	-0.32
1934	0.00
1935	-0.12
1936	-0.10
1937	-0.01
1938	0.19
1939	0.10
1940	0.06
1941	0.12
1942	0.08
1943	0.10
1944	0.22
1945	-0.07
1946	-0.01
1947	0.06
1948	0.04
1949	-0.06
1950	-0.34
1951	-0.08
1952	-0.09
1953	0.17
1954	-0.17
1955	-0.14
1956	-0.43
1957	-0.06
1958	0.12
1959	0.04
1960	-0.05
1961	0.09
1962	0.15
1963	0.19
1964	-0.25
1965	-0.14
1966	-0.08
1967	-0.01
1968	-0.12
1969	-0.11
1970	0.01
1971	-0.05
1972	-0.18
1973	0.28
1974	-0.22
1975	0.12
1976	-0.26
1977	0.20
1978	0.07
1979	0.14
1980	0.27
1981	0.49
1982	0.09
1983	0.49
1984	0.05
1985	0.07
1986	0.27
1987	0.41
1988	0.55
1989	0.38
1990	0.59
1991	0.53
1992	0.26
1993	0.35
1994	0.45
1995	0.77
1996	0.34
1997	0.67
1998	0.95
1999	0.79
2000	0.64
2001	0.82
2002	0.93
2003	0.88
2004	0.80
2005	1.05
2006	0.91
2007	1.09
2008	0.85
2009	0.87
2010	1.07
2011	0.89
2012	0.91
