1880	-0.04
1881	0.02
1882	0.01
1883	-0.03
1884	-0.11
1885	-0.15
1886	-0.14
1887	-0.21
1888	-0.07
1889	-0.05
1890	-0.28
1891	-0.15
1892	-0.24
1893	-0.24
1894	-0.26
1895	-0.16
1896	-0.03
1897	-0.06
1898	-0.22
1899	-0.11
1900	-0.05
1901	-0.16
1902	-0.22
1903	-0.33
1904	-0.41
1905	-0.25
1906	-0.23
1907	-0.29
1908	-0.43
1909	-0.45
1910	-0.40
1911	-0.44
1912	-0.27
1913	-0.32
1914	-0.17
1915	-0.08
1916	-0.26
1917	-0.23
1918	-0.13
1919	-0.15
1920	-0.18
1921	-0.18
1922	-0.23
1923	-0.22
1924	-0.25
1925	-0.17
1926	-0.09
1927	-0.15
1928	-0.20
1929	-0.25
1930	-0.11
1931	-0.09
1932	-0.16
1933	-0.21
1934	-0.14
1935	-0.14
1936	-0.12
1937	-0.01
1938	-0.11
1939	-0.06
1940	0.12
1941	0.24
1942	0.19
1943	0.19
1944	0.34
1945	0.30
1946	0.00
1947	-0.09
1948	-0.09
1949	-0.06
1950	-0.09
1951	0.01
1952	0.07
1953	0.07
1954	-0.10
1955	-0.14
1956	-0.11
1957	0.09
1958	0.11
1959	0.06
1960	0.05
1961	0.07
1962	0.07
1963	0.07
1964	-0.11
1965	-0.06
1966	-0.00
1967	-0.02
1968	0.00
1969	0.17
1970	0.04
1971	-0.09
1972	0.10
1973	0.11
1974	-0.02
1975	-0.04
1976	-0.01
1977	0.19
1978	0.12
1979	0.25
1980	0.26
1981	0.23
1982	0.21
1983	0.29
1984	0.18
1985	0.16
1986	0.21
1987	0.35
1988	0.31
1989	0.26
1990	0.37
1991	0.36
1992	0.25
1993	0.26
1994	0.30
1995	0.34
1996	0.31
1997	0.45
1998	0.51
1999	0.31
2000	0.35
2001	0.44
2002	0.48
2003	0.51
2004	0.49
2005	0.51
2006	0.50
2007	0.43
2008	0.42
2009	0.54
2010	0.56
2011	0.45
2012	0.51
